City,Name,Category,Address,Distance (meters),Google_Rating,Reviews,Latitude,Longitude
Bangalore,Smoke House Deli,Deli,"Shop No. 52 .And 53, Ground Floor, Lavelle Road (Lavelle Road), Bangalore 560001, Karnātaka",495,4.3,4953,12.9715104,77.5983259
Bangalore,Airlines Hotel,Hotel,"4 Madras Bank Road, Adjoining St Marks Road, Shanthala Nagar, Off Lavelle Road (Madras Bank Rd), Bangalore 560001, Karnātaka",674,0,0,12.9728882,77.59991009
Bangalore,Desserted,French Restaurant,"Vasanth (8th Main Road), Bangalore 941735, Karnātaka",2390,0,0,12.9927618,77.5892942
Bangalore,Food Street,Indian Restaurant,"Near Sajjan Rao Park (V.V Puram), Bangalore 560004, Karnātaka",2898,0,0,12.97361177,77.53816339
Bangalore,Bangalore Cafe,South Indian Restaurant,"Bangalore 560011, Karnātaka",3777,4.2,10605,12.987094,77.5784442
Bangalore,Hari Super Sandwich,Restaurant,"177/A, 22nd Cross, 3rd Block (3rd block jayanagar), Bangalore 560011, Karnātaka",4498,4.2,12537,12.91004725,77.5500181
Bangalore,Dyu Art Cafe,Café,"No 23, Khb Mig Colony, Old 5th Block, Khb Colony, Koramangala 8th Block, Koramangala (Koramangala 8th block), Bangalore 560095, Karnātaka",4639,0,0,12.9371896,77.6176798
Bangalore,The Fatty Bao,Bar,"12th Main, Indiranagar (12th Main), Bangalore 560038, Karnātaka",5569,0,0,12.970492,77.645222
Bangalore,Kanti Sweets,Indian Restaurant,"Chandrappa Complex (New BEL Road), Bangalore 560054, Karnātaka",8104,4.2,4801,12.9607897,77.5279567
Bangalore,Shiro,Japanese Restaurant,"126 2nd Main Road Vittal Mallya Road (Lavelle Rd.), Bangalore 560001, Karnātaka",275,0,0,12.971852,77.5964092
Bangalore,Smoke House Deli,Deli,"Shop No. 52 .And 53, Ground Floor, Lavelle Road (Lavelle Road), Bangalore 560001, Karnātaka",495,4.3,4953,12.9715104,77.5983259
Bangalore,Airlines Hotel,Hotel,"4 Madras Bank Road, Adjoining St Marks Road, Shanthala Nagar, Off Lavelle Road (Madras Bank Rd), Bangalore 560001, Karnātaka",674,0,0,12.9728882,77.59991009
Bangalore,Desserted,French Restaurant,"Vasanth (8th Main Road), Bangalore 941735, Karnātaka",2390,0,0,12.9927618,77.5892942
Bangalore,Food Street,Indian Restaurant,"Near Sajjan Rao Park (V.V Puram), Bangalore 560004, Karnātaka",2898,0,0,12.97361177,77.53816339
Bangalore,Bangalore Cafe,South Indian Restaurant,"Bangalore 560011, Karnātaka",3777,4.2,10605,12.987094,77.5784442
